method,window,period,date,selected_alpha,selector_score_type,e_start,e_end,plan_kwh,emergency_kwh,plan_cost,emergency_cost,total_cost,paid_grid_spill_kwh,pv_spill_kwh,charge_kwh,discharge_kwh,inventory_adjusted_day_cost,emergency_slots,solver,solve_seconds,max_plan_audit,plan_mutual_count
mean7,dev_april,development,2025-04-21,,none,2004.9647056825395,1556.635825121692,59565.82752857378,0.0,34899.397511498326,0.0,34899.397511498326,3333.080796787777,4531.779607807178,18881.856490264538,15697.799749619046,35195.544235813846,0,LP,0.005684500007191673,9.094947017729282e-13,0
mean7,dev_april,development,2025-04-22,,none,1556.635825121692,1700.3999453449717,59562.37393252675,0.0,35585.0734247104,0.0,35585.0734247104,1375.9065380117645,2114.6451166666666,19944.76448937213,16025.871528190475,35487.90864700599,0,LP,0.005750600015744567,9.094947017729282e-13,0
mean7,dev_april,development,2025-04-23,,none,1700.3999453449717,1839.7115881841248,59834.213665941206,0.0,36024.71298042296,0.0,36024.71298042296,2282.318415319226,2317.434086154025,19521.915627610815,15687.371179809523,35930.93935325552,0,LP,0.006009500008076429,9.094947017729282e-13,0
mean7,dev_april,development,2025-04-24,,none,1839.7115881841248,1811.7563899714291,58730.270002601996,0.0,34997.291489699695,0.0,34997.291489699695,2763.623562070548,5304.634016666667,18931.923169769547,15360.017445904761,35015.81366054749,0,LP,0.005475900019519031,9.094947017729282e-13,0
mean7,dev_april,development,2025-04-25,,none,1811.7563899714291,1757.9912371132332,26134.420847982365,0.0,9935.18181410262,0.0,9935.18181410262,276.4841164761913,21542.75187632569,12437.97811975191,10123.150914571426,9961.345147199358,0,MILP,0.11771379999117926,2.7853275241795927e-11,0
mean7,dev_april,development,2025-04-26,,none,1757.9912371132332,1528.5528376656105,26058.808989927096,0.0,10141.02519373696,0.0,10141.02519373696,38.131557619047726,23809.58066188712,12354.724718897114,10213.821581809521,10252.078971630595,0,MILP,0.12389550000079907,8.08597633294994e-12,0
mean7,dev_april,development,2025-04-27,,none,1528.5528376656105,1485.078089274073,55806.05916888888,411.3873713276225,32897.711702169065,2698.9068495948673,35596.61855176393,1556.6705794285708,2312.4665545326293,20073.502613022923,16298.66439010095,35625.32946580373,1,LP,0.006194399989908561,8.810729923425242e-13,0
mean7,dev_april,development,2025-04-28,,none,1485.078089274073,1504.9808207925923,55359.6419113933,4435.1321416571345,33261.08059926922,28035.6748130333,61296.75541230252,182.88320895238041,0.0,15642.1635213933,12652.23999396191,61283.03353625311,12,LP,0.005755299993325025,9.094947017729282e-13,0
mean7,dev_april,development,2025-04-29,,none,1504.9808207925923,1708.2381589777765,57695.52719732746,96.27080951237485,33935.6836587988,637.1202173528968,34572.803876151695,2043.62815207995,4646.779830463265,18343.393175069956,14675.216867440004,34439.19380821819,1,LP,0.00546559999929741,8.952838470577262e-13,0
mean7,dev_april,development,2025-04-30,,none,1708.2381589777765,1638.3538020497374,57021.5283289371,0.0,33636.510366742375,0.0,33636.510366742375,2016.4083002222221,3357.443145504997,18177.46511111464,14786.642661238093,33682.389316032466,0,LP,0.005448800016893074,8.86402062860725e-13,0
