method,window,period,date,mae,mse,rank_correlation
oracle_greedy,dev_march,development,2025-03-10,0.0,0.0,1.0
oracle_greedy,dev_march,development,2025-03-11,0.0,0.0,1.0
oracle_greedy,dev_march,development,2025-03-12,0.0,0.0,1.0
oracle_greedy,dev_march,development,2025-03-13,0.0,0.0,1.0
oracle_greedy,dev_march,development,2025-03-14,0.0,0.0,1.0
oracle_greedy,dev_march,development,2025-03-15,0.0,0.0,1.0
oracle_greedy,dev_march,development,2025-03-16,0.0,0.0,1.0
oracle_greedy,dev_march,development,2025-03-17,0.0,0.0,1.0
oracle_greedy,dev_march,development,2025-03-18,0.0,0.0,1.0
oracle_greedy,dev_march,development,2025-03-19,0.0,0.0,1.0
oracle_greedy,dev_march,development,2025-03-20,0.0,0.0,1.0
oracle_greedy,dev_april,development,2025-04-17,0.0,0.0,1.0
oracle_greedy,dev_april,development,2025-04-18,0.0,0.0,0.9999999999999998
oracle_greedy,dev_april,development,2025-04-19,0.0,0.0,1.0
oracle_greedy,dev_april,development,2025-04-20,0.0,0.0,1.0
oracle_greedy,dev_april,development,2025-04-21,0.0,0.0,1.0
oracle_greedy,dev_april,development,2025-04-22,0.0,0.0,1.0
oracle_greedy,dev_april,development,2025-04-23,0.0,0.0,1.0
oracle_greedy,dev_april,development,2025-04-24,0.0,0.0,0.9999999999999998
oracle_greedy,dev_april,development,2025-04-25,0.0,0.0,1.0
oracle_greedy,dev_april,development,2025-04-26,0.0,0.0,0.9999999999999998
oracle_greedy,dev_april,development,2025-04-27,0.0,0.0,1.0
oracle_greedy,dev_april,development,2025-04-28,0.0,0.0,1.0
oracle_greedy,dev_april,development,2025-04-29,0.0,0.0,1.0
oracle_greedy,dev_april,development,2025-04-30,0.0,0.0,0.9999999999999998
oracle_greedy,val_june,validation,2025-06-08,0.0,0.0,1.0
oracle_greedy,val_june,validation,2025-06-09,0.0,0.0,1.0
oracle_greedy,val_june,validation,2025-06-10,0.0,0.0,1.0
oracle_greedy,val_june,validation,2025-06-11,0.0,0.0,1.0
oracle_greedy,val_june,validation,2025-06-12,0.0,0.0,1.0
oracle_greedy,val_june,validation,2025-06-13,0.0,0.0,1.0
oracle_greedy,val_june,validation,2025-06-14,0.0,0.0,1.0
oracle_greedy,val_june,validation,2025-06-15,0.0,0.0,1.0
oracle_greedy,val_june,validation,2025-06-16,0.0,0.0,1.0
oracle_greedy,val_june,validation,2025-06-17,0.0,0.0,1.0
oracle_greedy,val_june,validation,2025-06-18,0.0,0.0,1.0
oracle_greedy,val_june,validation,2025-06-19,0.0,0.0,1.0
